[09:42:12.044112] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:271622 Ay:-563220 Az:164782585 Gx:388554 Gy:1434435 Gz:114728 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153392,-79.6839001 σLat:1.6078m σLon:1.4617m SVs:15/15 SOL_COMPUTED SINGLE
[09:42:13.891557] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:801655 Ay:-429765 Az:164473431 Gx:89857 Gy:-13352 Gz:-46281 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152968,-79.6839196 σLat:2.1175m σLon:1.8929m SVs:13/12 SOL_COMPUTED SINGLE
[09:42:15.660504] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:762015 Ay:-558289 Az:164695117 Gx:75958 Gy:-102259 Gz:-36880 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152879,-79.6839024 σLat:1.9473m σLon:1.6683m SVs:15/13 SOL_COMPUTED SINGLE
[09:42:17.413509] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:30089175 Ay:-2447113 Az:157192972 Gx:-1226706 Gy:-60983304 Gz:-1632968 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153071,-79.6839280 σLat:1.8874m σLon:1.5974m SVs:15/13 SOL_COMPUTED SINGLE
[09:42:19.550855] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:32705624 Ay:-3487378 Az:163393492 Gx:-12069397 Gy:-77822126 Gz:-48333132 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153427,-79.6839295 σLat:1.8747m σLon:1.7750m SVs:15/14 SOL_COMPUTED SINGLE
[09:42:21.514891] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1995491 Ay:2949204 Az:164012903 Gx:-700353 Gy:697442 Gz:7163903 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153146,-79.6838955 σLat:1.9853m σLon:1.8591m SVs:15/13 SOL_COMPUTED SINGLE
[09:42:22.879756] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:923999 Ay:-6945640 Az:164001948 Gx:-492690 Gy:-1333738 Gz:-2913029 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153227,-79.6838962 σLat:2.0026m σLon:1.8726m SVs:16/14 SOL_COMPUTED SINGLE
[09:42:24.547673] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:3607323 Ay:-4525624 Az:164038468 Gx:168645 Gy:85737 Gz:8946 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153231,-79.6839466 σLat:1.9566m σLon:1.6629m SVs:15/13 SOL_COMPUTED SINGLE
[09:42:26.822472] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:3785264 Ay:-3283659 Az:163916634 Gx:25955 Gy:-221900 Gz:-31928 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153904,-79.6839718 σLat:2.0253m σLon:1.7241m SVs:15/13 SOL_COMPUTED SINGLE
[09:42:28.920357] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:3237868 Ay:-3422509 Az:164122643 Gx:4223 Gy:-120921 Gz:-37389 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154045,-79.6839902 σLat:1.9812m σLon:1.6897m SVs:15/13 SOL_COMPUTED SINGLE
