[09:32:52.263168] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-888330 Ay:-2516973 Az:164245666 Gx:47010 Gy:163469 Gz:11756 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153747,-79.6840006 σLat:1.7798m σLon:1.7447m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:54.446643] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-974538 Ay:-2472547 Az:164315355 Gx:-26156 Gy:35444 Gz:19253 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153762,-79.6839988 σLat:1.7672m σLon:1.7361m SVs:16/14 SOL_COMPUTED SINGLE
[09:32:56.547688] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-474602 Ay:-2922870 Az:164161806 Gx:200587 Gy:-683323 Gz:10255 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153703,-79.6839928 σLat:2.3689m σLon:2.1866m SVs:14/12 SOL_COMPUTED SINGLE
[09:32:58.525996] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-464472 Ay:-2496667 Az:164166070 Gx:45861 Gy:91850 Gz:-3077 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153690,-79.6839960 σLat:2.3712m σLon:2.1896m SVs:14/12 SOL_COMPUTED SINGLE
[09:33:00.390108] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-601556 Ay:-2007563 Az:164187750 Gx:-57941 Gy:60943 Gz:11291 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153691,-79.6839944 σLat:2.3646m σLon:2.1842m SVs:14/12 SOL_COMPUTED SINGLE
[09:33:02.345848] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-1210480 Ay:-2614802 Az:164331828 Gx:37181 Gy:204744 Gz:-7894 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153850,-79.6840066 σLat:1.9272m σLon:1.8610m SVs:15/13 SOL_COMPUTED SINGLE
[09:33:04.076487] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-338961 Ay:-2547580 Az:164174082 Gx:22088 Gy:-84722 Gz:-2099 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153865,-79.6840014 σLat:1.9338m σLon:1.8608m SVs:15/13 SOL_COMPUTED SINGLE
[09:33:05.875473] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-1044538 Ay:-2439672 Az:164464612 Gx:44657 Gy:-133417 Gz:-19659 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153818,-79.6839894 σLat:1.9267m σLon:1.8628m SVs:15/13 SOL_COMPUTED SINGLE
[09:33:07.770481] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-724938 Ay:-2679652 Az:164225440 Gx:18081 Gy:-73543 Gz:-3209 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153765,-79.6839817 σLat:1.9270m σLon:1.8613m SVs:14/13 SOL_COMPUTED SINGLE
[09:33:09.925431] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-989066 Ay:-2478940 Az:164483539 Gx:49584 Gy:109155 Gz:15549 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153696,-79.6839745 σLat:1.8465m σLon:1.8753m SVs:16/14 SOL_COMPUTED SINGLE
