[15:27:32.012951] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1471 Ay:-0.2433 Az:+9.8361 Gyro(°/s) Gx:+0.0114 Gy:-0.0116 Gz:+0.0183 | Roll:+0.90°(σ3.000) Pitch:-1.31°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.005 E:-0.022 U:+0.037 2D:0.022 m/s | INS 43.5148744,-79.6840770 H:167.918m | GNSS 43.5148950,-79.6840655 σLat:1.4732m σLon:1.6111m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:33.013002] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1509 Ay:-0.1941 Az:+9.8400 Gyro(°/s) Gx:+0.0391 Gy:+0.0129 Gz:-0.0160 | Roll:+0.90°(σ3.000) Pitch:-1.29°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.019 E:+0.029 U:-0.061 2D:0.034 m/s | INS 43.5148744,-79.6840769 H:167.957m | GNSS 43.5148952,-79.6840652 σLat:1.4722m σLon:1.6104m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:34.014224] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1399 Ay:-0.2158 Az:+9.7852 Gyro(°/s) Gx:-0.0196 Gy:+0.0008 Gz:+0.0183 | Roll:+0.90°(σ3.000) Pitch:-1.29°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.013 E:+0.009 U:-0.018 2D:0.016 m/s | INS 43.5148759,-79.6840707 H:167.176m | GNSS 43.5148949,-79.6840650 σLat:1.4741m σLon:1.6097m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:35.013113] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1331 Ay:-0.2441 Az:+9.7979 Gyro(°/s) Gx:-0.0076 Gy:+0.0195 Gz:+0.0154 | Roll:+0.89°(σ3.000) Pitch:-1.31°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.006 E:+0.011 U:-0.002 2D:0.013 m/s | INS 43.5148743,-79.6840765 H:168.086m | GNSS 43.5148944,-79.6840655 σLat:1.4770m σLon:1.6093m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:36.012190] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1393 Ay:-0.2316 Az:+9.8467 Gyro(°/s) Gx:-0.0112 Gy:+0.0279 Gz:+0.0176 | Roll:+0.90°(σ3.000) Pitch:-1.29°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.012 E:+0.013 U:-0.006 2D:0.018 m/s | INS 43.5148756,-79.6840715 H:167.346m | GNSS 43.5148942,-79.6840655 σLat:1.4786m σLon:1.6097m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:37.012628] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1318 Ay:-0.2703 Az:+9.8175 Gyro(°/s) Gx:+0.0082 Gy:-0.0036 Gz:+0.0327 | Roll:+0.90°(σ3.000) Pitch:-1.31°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.014 E:+0.006 U:-0.029 2D:0.015 m/s | INS 43.5148755,-79.6840716 H:167.408m | GNSS 43.5148941,-79.6840656 σLat:1.4795m σLon:1.6096m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:38.012289] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1388 Ay:-0.2033 Az:+9.8024 Gyro(°/s) Gx:+0.0246 Gy:+0.0117 Gz:+0.0025 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.028 E:-0.012 U:+0.027 2D:0.030 m/s | INS 43.5148740,-79.6840763 H:168.271m | GNSS 43.5148947,-79.6840643 σLat:1.4809m σLon:1.6085m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:39.014462] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1413 Ay:-0.2205 Az:+9.8284 Gyro(°/s) Gx:-0.0103 Gy:-0.0024 Gz:+0.0279 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.002 E:+0.021 U:-0.032 2D:0.021 m/s | INS 43.5148740,-79.6840766 H:168.227m | GNSS 43.5148949,-79.6840646 σLat:1.4774m σLon:1.6075m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:40.014487] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1752 Ay:-0.2195 Az:+9.8524 Gyro(°/s) Gx:-0.0272 Gy:+0.0085 Gz:+0.0357 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.014 E:-0.048 U:+0.110 2D:0.050 m/s | INS 43.5148752,-79.6840713 H:167.500m | GNSS 43.5148947,-79.6840645 σLat:1.4765m σLon:1.6062m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:41.014222] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1775 Ay:-0.2100 Az:+9.8797 Gyro(°/s) Gx:+0.0172 Gy:+0.0124 Gz:+0.0188 | Roll:+0.90°(σ3.000) Pitch:-1.31°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.007 E:+0.002 U:-0.009 2D:0.007 m/s | INS 43.5148736,-79.6840766 H:168.367m | GNSS 43.5148943,-79.6840649 σLat:1.4788m σLon:1.6063m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:42.014398] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1690 Ay:-0.2283 Az:+9.8451 Gyro(°/s) Gx:+0.0017 Gy:-0.0078 Gz:+0.0522 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.015 E:-0.011 U:-0.003 2D:0.018 m/s | INS 43.5148733,-79.6840770 H:168.392m | GNSS 43.5148939,-79.6840656 σLat:1.4788m σLon:1.6053m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:43.012987] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1479 Ay:-0.2166 Az:+9.8263 Gyro(°/s) Gx:+0.0015 Gy:+0.0078 Gz:+0.0195 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.015 E:-0.004 U:-0.049 2D:0.016 m/s | INS 43.5148731,-79.6840772 H:168.450m | GNSS 43.5148931,-79.6840677 σLat:1.4791m σLon:1.5990m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:44.012277] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1599 Ay:-0.2279 Az:+9.8600 Gyro(°/s) Gx:+0.0126 Gy:+0.0256 Gz:+0.0142 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.005 E:-0.044 U:+0.068 2D:0.044 m/s | INS 43.5148741,-79.6840730 H:167.730m | GNSS 43.5148920,-79.6840672 σLat:1.4773m σLon:1.5990m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:45.013499] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1575 Ay:-0.2331 Az:+9.8154 Gyro(°/s) Gx:+0.0104 Gy:-0.0078 Gz:+0.0065 | Roll:+0.90°(σ3.000) Pitch:-1.31°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.011 E:+0.013 U:-0.037 2D:0.017 m/s | INS 43.5148739,-79.6840740 H:167.845m | GNSS 43.5148913,-79.6840687 σLat:1.4725m σLon:1.5966m SVs:25/23 SOL_COMPUTED SINGLE
