[11:33:03.027028] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7757 Ay:-0.1810 Az:+9.7849 Gyro(°/s) Gx:-0.0154 Gy:-0.0127 Gz:+0.0176 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155282,-79.6842095 σLat:2.3430m σLon:1.7040m SVs:7/7 SOL_COMPUTED SINGLE
[11:33:04.021880] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7696 Ay:-0.1807 Az:+9.7913 Gyro(°/s) Gx:+0.0513 Gy:+0.0292 Gz:+0.0236 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155279,-79.6842094 σLat:2.3276m σLon:1.6898m SVs:7/7 SOL_COMPUTED SINGLE
[11:33:05.030756] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7801 Ay:-0.1691 Az:+9.7879 Gyro(°/s) Gx:+0.0353 Gy:+0.0229 Gz:-0.0002 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155283,-79.6842098 σLat:2.3232m σLon:1.6850m SVs:7/7 SOL_COMPUTED SINGLE
[11:33:06.031200] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7715 Ay:-0.1694 Az:+9.8085 Gyro(°/s) Gx:+0.0124 Gy:-0.0043 Gz:+0.0213 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155284,-79.6842100 σLat:2.3200m σLon:1.6845m SVs:7/7 SOL_COMPUTED SINGLE
[11:33:07.025334] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7608 Ay:-0.1670 Az:+9.8045 Gyro(°/s) Gx:-0.0285 Gy:+0.0101 Gz:+0.0044 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155280,-79.6842096 σLat:2.3078m σLon:1.6717m SVs:7/7 SOL_COMPUTED SINGLE
[11:33:08.021273] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7610 Ay:-0.1920 Az:+9.8005 Gyro(°/s) Gx:-0.0007 Gy:-0.0142 Gz:+0.0045 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155278,-79.6842094 σLat:2.2929m σLon:1.6567m SVs:7/7 SOL_COMPUTED SINGLE
[11:33:09.021496] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7582 Ay:-0.1796 Az:+9.8133 Gyro(°/s) Gx:-0.0039 Gy:+0.0156 Gz:+0.0207 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155275,-79.6842093 σLat:2.3082m σLon:1.6714m SVs:8/7 SOL_COMPUTED SINGLE
[11:33:10.023197] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7573 Ay:-0.1719 Az:+9.8041 Gyro(°/s) Gx:-0.0002 Gy:-0.0014 Gz:+0.0152 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155274,-79.6842094 σLat:2.2941m σLon:1.6571m SVs:9/8 SOL_COMPUTED SINGLE
[11:33:11.021973] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7664 Ay:-0.1893 Az:+9.7925 Gyro(°/s) Gx:+0.0047 Gy:+0.0076 Gz:-0.0100 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155274,-79.6842093 σLat:2.2941m σLon:1.6570m SVs:9/8 SOL_COMPUTED SINGLE
[11:33:12.028112] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7681 Ay:-0.1870 Az:+9.7972 Gyro(°/s) Gx:+0.0365 Gy:-0.0275 Gz:+0.0053 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155274,-79.6842091 σLat:2.3038m σLon:1.6683m SVs:9/8 SOL_COMPUTED SINGLE
[11:33:13.037094] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7852 Ay:-0.1823 Az:+9.7972 Gyro(°/s) Gx:-0.0078 Gy:-0.0025 Gz:+0.0219 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155273,-79.6842090 σLat:2.2998m σLon:1.6649m SVs:9/8 SOL_COMPUTED SINGLE
[11:33:14.034013] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7573 Ay:-0.1804 Az:+9.7995 Gyro(°/s) Gx:-0.0150 Gy:+0.0110 Gz:+0.0094 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155272,-79.6842088 σLat:2.2999m σLon:1.6638m SVs:11/8 SOL_COMPUTED SINGLE
[11:33:15.027248] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7613 Ay:-0.1993 Az:+9.8150 Gyro(°/s) Gx:+0.0019 Gy:-0.0188 Gz:+0.0062 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155310,-79.6842204 σLat:2.3063m σLon:1.5902m SVs:11/10 SOL_COMPUTED SINGLE
[11:33:16.038906] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7659 Ay:-0.1756 Az:+9.7979 Gyro(°/s) Gx:-0.0040 Gy:+0.0038 Gz:-0.0001 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155300,-79.6842178 σLat:2.3014m σLon:1.5761m SVs:11/10 SOL_COMPUTED SINGLE
