[08:38:55.607702] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2352768 Ay:-1811099 Az:164370978 Gx:-17477 Gy:-133663 Gz:77494 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153794,-79.6839229 σLat:1.5012m σLon:1.4582m SVs:16/15 SOL_COMPUTED SINGLE
[08:38:56.610765] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2206953 Ay:-1826730 Az:164283691 Gx:32532 Gy:-53054 Gz:106913 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153792,-79.6839222 σLat:1.4987m σLon:1.4573m SVs:16/15 SOL_COMPUTED SINGLE
[08:38:57.616420] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2331151 Ay:-1659577 Az:164300017 Gx:171676 Gy:77823 Gz:134195 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153786,-79.6839217 σLat:1.4969m σLon:1.4551m SVs:16/15 SOL_COMPUTED SINGLE
[08:38:58.610846] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2633973 Ay:-1548427 Az:164598033 Gx:-46022 Gy:-38735 Gz:75805 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153788,-79.6839215 σLat:1.4961m σLon:1.4575m SVs:16/15 SOL_COMPUTED SINGLE
[08:38:59.611410] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2196134 Ay:-1748635 Az:164286811 Gx:-269860 Gy:-85313 Gz:-356452 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153789,-79.6839216 σLat:1.4931m σLon:1.4548m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:00.629587] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2085100 Ay:-1665290 Az:164170081 Gx:179190 Gy:-122588 Gz:-50464 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153791,-79.6839218 σLat:1.4939m σLon:1.4551m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:01.611327] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2211126 Ay:-1729551 Az:164220696 Gx:61538 Gy:-3064 Gz:125656 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152807,-79.6837869 σLat:1.7650m σLon:1.7873m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:02.626001] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2261346 Ay:-1879398 Az:164282341 Gx:95453 Gy:46931 Gz:99019 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152817,-79.6837887 σLat:1.7625m σLon:1.7854m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:03.611556] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2329042 Ay:-1803129 Az:164296488 Gx:51545 Gy:-8437 Gz:62798 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152826,-79.6837908 σLat:1.7625m σLon:1.7890m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:04.621818] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2143960 Ay:-1956751 Az:164223473 Gx:115181 Gy:100400 Gz:93443 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152839,-79.6837934 σLat:1.7617m σLon:1.7857m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:05.612715] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2415311 Ay:-1959845 Az:164337497 Gx:22776 Gy:-65564 Gz:40864 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152851,-79.6837962 σLat:1.7608m σLon:1.7880m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:06.610093] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2281239 Ay:-1957919 Az:164386231 Gx:45299 Gy:-18880 Gz:83449 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152862,-79.6837983 σLat:1.7583m σLon:1.7879m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:07.609170] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1772516 Ay:-1927366 Az:164146621 Gx:279229 Gy:545417 Gz:401007 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152876,-79.6838016 σLat:1.7601m σLon:1.7859m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:08.609354] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2497578 Ay:-1468529 Az:164379034 Gx:-7106 Gy:-215292 Gz:56870 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152888,-79.6838053 σLat:1.7699m σLon:1.7915m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:09.607087] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-64506747 Ay:-242463 Az:134748702 Gx:14905907 Gy:-26900166 Gz:-40264560 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152899,-79.6838082 σLat:1.7792m σLon:1.8013m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:10.610605] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-68477843 Ay:494384 Az:134945664 Gx:2951183 Gy:149522090 Gz:-1070843 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152917,-79.6838129 σLat:1.7785m σLon:1.7972m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:11.609793] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-85204887 Ay:-4628490 Az:115642742 Gx:28871070 Gy:-49378104 Gz:-60615311 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152936,-79.6838177 σLat:1.7768m σLon:1.7975m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:12.619940] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-24077377 Ay:-4990053 Az:160523678 Gx:-7039262 Gy:-390150099 Gz:-3919334 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152960,-79.6838229 σLat:1.7685m σLon:1.7948m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:13.611989] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-22179158 Ay:-1386796 Az:161355551 Gx:-8914381 Gy:373159140 Gz:92844303 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152972,-79.6838260 σLat:1.7767m σLon:1.7946m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:14.612379] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-72519879 Ay:-6547506 Az:119419939 Gx:3463195 Gy:-236624951 Gz:-17501189 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152982,-79.6838287 σLat:1.7820m σLon:1.7985m SVs:16/15 SOL_COMPUTED SINGLE
[08:39:15.608603] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:8361734 Ay:-3597959 Az:204537494 Gx:22008734 Gy:323289140 Gz:12799950 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153006,-79.6838338 σLat:1.7699m σLon:1.7941m SVs:16/15 SOL_COMPUTED SINGLE
