[11:05:16.040770] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0201 Ay:-0.2135 Az:+9.8382 Gyro(°/s) Gx:+0.0328 Gy:-0.0110 Gz:-0.0010 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153485,-79.6838163 σLat:1.3244m σLon:1.2413m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:17.036090] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0145 Ay:-0.2186 Az:+9.8344 Gyro(°/s) Gx:+0.0182 Gy:+0.0130 Gz:-0.0084 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153488,-79.6838162 σLat:1.3210m σLon:1.2386m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:18.035304] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0121 Ay:-0.2205 Az:+9.8390 Gyro(°/s) Gx:+0.0121 Gy:+0.0126 Gz:-0.0014 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153488,-79.6838162 σLat:1.3252m σLon:1.2430m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:19.034186] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0305 Ay:-0.2121 Az:+9.8447 Gyro(°/s) Gx:+0.0074 Gy:+0.0100 Gz:-0.0123 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153490,-79.6838162 σLat:1.3305m σLon:1.2440m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:20.033903] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0252 Ay:-0.2118 Az:+9.8382 Gyro(°/s) Gx:+0.0224 Gy:+0.0156 Gz:+0.0003 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153492,-79.6838161 σLat:1.3284m σLon:1.2439m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:21.046442] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0242 Ay:-0.2265 Az:+9.8456 Gyro(°/s) Gx:+0.0240 Gy:-0.0086 Gz:-0.0064 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153496,-79.6838158 σLat:1.3398m σLon:1.2451m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:22.027001] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0060 Ay:-0.2284 Az:+9.8308 Gyro(°/s) Gx:+0.0187 Gy:-0.0077 Gz:-0.0161 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153495,-79.6838160 σLat:1.3264m σLon:1.2376m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:23.031445] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0187 Ay:-0.2216 Az:+9.8377 Gyro(°/s) Gx:+0.0148 Gy:+0.0223 Gz:-0.0037 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153498,-79.6838165 σLat:1.3330m σLon:1.2436m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:24.029018] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0127 Ay:-0.2204 Az:+9.8374 Gyro(°/s) Gx:+0.0100 Gy:+0.0206 Gz:+0.0051 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153498,-79.6838172 σLat:1.3292m σLon:1.2374m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:25.026695] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0166 Ay:-0.2153 Az:+9.8386 Gyro(°/s) Gx:+0.0057 Gy:+0.0105 Gz:-0.0036 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153503,-79.6838178 σLat:1.3500m σLon:1.2448m SVs:18/18 SOL_COMPUTED SINGLE
