INSCONFIG  Profile:LAND  AlignMode:KINEMATIC  ANT1(m) X:1.5000 Y:0.0000 Z:0.4000 (±0.0500 ±0.0500 ±0.0500)  RBV(°) X:0.0000 Y:0.0000 Z:0.0000 (±3.0000 ±3.0000 ±3.0000)
INSCONFIG  Profile:LAND  AlignMode:KINEMATIC  ANT1(m) X:1.5000 Y:0.0000 Z:0.4000 (±0.0500 ±0.0500 ±0.0500)  RBV(°) X:0.0000 Y:0.0000 Z:0.0000 (±3.0000 ±3.0000 ±3.0000)
[15:22:13.350541] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1436 Ay:-0.2237 Az:+9.8207 Gyro(°/s) Gx:+0.0543 Gy:+0.0063 Gz:+0.0138 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:14.350419] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1446 Ay:-0.2307 Az:+9.8229 Gyro(°/s) Gx:+0.0407 Gy:+0.0225 Gz:+0.0231 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:15.350074] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1285 Ay:-0.2176 Az:+9.8432 Gyro(°/s) Gx:+0.0047 Gy:+0.0035 Gz:+0.0260 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:16.356733] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1918 Ay:-0.2214 Az:+9.8666 Gyro(°/s) Gx:-0.0034 Gy:-0.0203 Gz:+0.0205 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:17.351692] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1651 Ay:-0.2358 Az:+9.8031 Gyro(°/s) Gx:+0.0124 Gy:-0.0093 Gz:+0.0232 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:18.365441] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1248 Ay:-0.2130 Az:+9.7972 Gyro(°/s) Gx:+0.0602 Gy:+0.0279 Gz:+0.0034 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:20.012682] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1478 Ay:-0.2161 Az:+9.8179 Gyro(°/s) Gx:+0.0264 Gy:+0.0323 Gz:+0.0024 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:21.018103] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1606 Ay:-0.2594 Az:+9.8261 Gyro(°/s) Gx:+0.0037 Gy:-0.0241 Gz:+0.0401 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:6/0 INSUFFICIENT_OBS NONE
[15:22:22.009318] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1754 Ay:-0.2151 Az:+9.8318 Gyro(°/s) Gx:+0.0238 Gy:-0.0247 Gz:+0.0302 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:13/0 INSUFFICIENT_OBS NONE
[15:22:23.011153] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1719 Ay:-0.2175 Az:+9.8816 Gyro(°/s) Gx:-0.0257 Gy:+0.0344 Gz:-0.0152 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 43.5148454,-79.6841711 σLat:120.3740m σLon:126.4633m SVs:16/4 SOL_COMPUTED SINGLE
