sys_datetime,unix_timestamp,raw_accel_x_lsb,raw_accel_y_lsb,raw_accel_z_lsb,raw_gyro_x_lsb,raw_gyro_y_lsb,raw_gyro_z_lsb,raw_accel_x_ms2,raw_accel_y_ms2,raw_accel_z_ms2,raw_gyro_x_degs,raw_gyro_y_degs,raw_gyro_z_degs,imu_type,imu_status_hex,veh_lat_acc_ms2,veh_long_acc_ms2,veh_vert_acc_ms2,veh_pitch_rate_degs,veh_roll_rate_degs,veh_yaw_rate_degs
2026-05-26 15:21:52.493315,1779823312.493315,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.495432,1779823312.495432,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.496871,1779823312.496871,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.499381,1779823312.499381,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.501550,1779823312.501550,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.509899,1779823312.509899,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.520658,1779823312.520658,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.529954,1779823312.529954,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.540766,1779823312.540766,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.549993,1779823312.549993,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.560862,1779823312.560862,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.570591,1779823312.570591,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.579854,1779823312.579854,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.591310,1779823312.591310,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.599870,1779823312.599870,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.610349,1779823312.610349,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.620421,1779823312.620421,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.630128,1779823312.630128,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.640470,1779823312.640470,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.650618,1779823312.650618,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.661008,1779823312.661008,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.670607,1779823312.670607,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.680097,1779823312.680097,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.690303,1779823312.690303,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.700048,1779823312.700048,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.710662,1779823312.710662,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.720738,1779823312.720738,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.730066,1779823312.730066,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.741008,1779823312.741008,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.750227,1779823312.750227,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.759973,1779823312.759973,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.770750,1779823312.770750,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.780027,1779823312.780027,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.790507,1779823312.790507,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.800014,1779823312.800014,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.810156,1779823312.810156,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.820353,1779823312.820353,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.830022,1779823312.830022,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.842437,1779823312.842437,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.850188,1779823312.850188,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.860597,1779823312.860597,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
