# Session started 2026-05-22T16:23:33.483481
# [UTC] Fusion Fix | Accel(m/s²) X Y Z  Gyro(°/s) X Y Z | Veh(m/s²) X Y Z  Hdg(°) | Spd(m/s) VelN VelE VelD | Lat Lon | hAcc vAcc | HDOP VDOP PDOP | NAV-ATT Roll Pitch Hdg
[19:46:58.300000] Initializing Fix:3D | Accel(m/s²) X:-0.3741 Y:+0.8098 Z:+9.9357  Gyro(°/s) X:-1.7398 Y:+0.8248 Z:+29.1821 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.531m/s VN:+1.144 VE:+2.258 VD:-0.022 | Lat:43.514201 Lon:-79.683469 | hAcc:0.144m vAcc:0.241m | HDOP:0.54 VDOP:0.78 PDOP:0.95 | NAV-ATT Roll:+0.00° Pitch:+0.51° Hdg:+63.13° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:46:59.320000] Initializing Fix:3D | Accel(m/s²) X:-0.8685 Y:+1.0331 Z:+9.9031  Gyro(°/s) X:-0.6626 Y:-0.1033 Z:+30.1595 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.594m/s VN:+2.066 VE:+1.570 VD:-0.029 | Lat:43.514216 Lon:-79.683444 | hAcc:0.152m vAcc:0.246m | HDOP:0.57 VDOP:0.83 PDOP:1.01 | NAV-ATT Roll:+0.00° Pitch:+0.64° Hdg:+37.23° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:00.310000] Initializing Fix:3D | Accel(m/s²) X:-0.5704 Y:+0.9643 Z:+9.9536  Gyro(°/s) X:-1.7339 Y:-0.0721 Z:+28.0454 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.612m/s VN:+2.588 VE:+0.353 VD:+0.029 | Lat:43.514237 Lon:-79.683432 | hAcc:0.159m vAcc:0.245m | HDOP:0.6 VDOP:0.84 PDOP:1.03 | NAV-ATT Roll:+0.00° Pitch:-0.63° Hdg:+7.77° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:01.300000] Initializing Fix:3D | Accel(m/s²) X:-0.5073 Y:+0.5460 Z:+9.8400  Gyro(°/s) X:-1.2147 Y:+0.5827 Z:+14.9175 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.843m/s VN:+2.759 VE:-0.688 VD:+0.036 | Lat:43.514262 Lon:-79.683436 | hAcc:0.166m vAcc:0.243m | HDOP:0.57 VDOP:0.83 PDOP:1.01 | NAV-ATT Roll:+0.00° Pitch:-0.73° Hdg:+346.00° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:02.290000] Initializing Fix:3D | Accel(m/s²) X:-0.7280 Y:-0.2416 Z:+9.9143  Gyro(°/s) X:+0.2813 Y:-1.1115 Z:+1.5537 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.868m/s VN:+2.712 VE:-0.935 VD:+0.020 | Lat:43.514285 Lon:-79.683445 | hAcc:0.166m vAcc:0.243m | HDOP:0.58 VDOP:0.85 PDOP:1.03 | NAV-ATT Roll:+0.00° Pitch:-0.41° Hdg:+340.98° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:03.280000] Initializing Fix:3D | Accel(m/s²) X:-0.7304 Y:-0.6322 Z:+9.8832  Gyro(°/s) X:+1.9538 Y:-0.2260 Z:-10.7662 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.727m/s VN:+2.680 VE:-0.499 VD:+0.031 | Lat:43.514308 Lon:-79.683454 | hAcc:0.164m vAcc:0.242m | HDOP:0.52 VDOP:0.78 PDOP:0.94 | NAV-ATT Roll:+0.00° Pitch:-0.66° Hdg:+349.44° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:04.340000] Initializing Fix:3D | Accel(m/s²) X:-0.8446 Y:-1.1729 Z:+9.8672  Gyro(°/s) X:+2.1499 Y:+0.2989 Z:-20.4042 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.437m/s VN:+2.408 VE:+0.377 VD:+0.018 | Lat:43.514332 Lon:-79.683455 | hAcc:0.16m vAcc:0.236m | HDOP:0.52 VDOP:0.78 PDOP:0.94 | NAV-ATT Roll:+0.00° Pitch:-0.42° Hdg:+8.90° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:05.330000] Initializing Fix:3D | Accel(m/s²) X:-1.0215 Y:-1.1413 Z:+9.8650  Gyro(°/s) X:+1.3748 Y:+0.2683 Z:-25.5888 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.169m/s VN:+1.830 VE:+1.164 VD:+0.021 | Lat:43.514351 Lon:-79.683446 | hAcc:0.157m vAcc:0.232m | HDOP:0.52 VDOP:0.78 PDOP:0.94 | NAV-ATT Roll:+0.00° Pitch:-0.57° Hdg:+32.47° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:06.320000] Initializing Fix:3D | Accel(m/s²) X:-1.0679 Y:-0.8778 Z:+9.9274  Gyro(°/s) X:+1.1171 Y:-0.5609 Z:-28.4728 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.869m/s VN:+0.856 VE:+1.661 VD:+0.043 | Lat:43.514363 Lon:-79.683427 | hAcc:0.154m vAcc:0.231m | HDOP:0.5 VDOP:0.72 PDOP:0.88 | NAV-ATT Roll:+0.00° Pitch:-1.30° Hdg:+62.73° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:07.380000] Initializing Fix:3D | Accel(m/s²) X:-0.5863 Y:-0.5699 Z:+9.8665  Gyro(°/s) X:+1.6988 Y:-0.6334 Z:-25.7536 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.730m/s VN:-0.037 VE:+1.730 VD:+0.032 | Lat:43.514367 Lon:-79.683405 | hAcc:0.151m vAcc:0.23m | HDOP:0.5 VDOP:0.72 PDOP:0.88 | NAV-ATT Roll:+0.00° Pitch:-1.07° Hdg:+91.24° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:08.370000] Initializing Fix:3D | Accel(m/s²) X:-0.7730 Y:-0.8441 Z:+9.9335  Gyro(°/s) X:+1.0218 Y:+0.6394 Z:-25.8074 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.769m/s VN:-0.770 VE:+1.593 VD:+0.008 | Lat:43.514364 Lon:-79.683384 | hAcc:0.15m vAcc:0.233m | HDOP:0.52 VDOP:0.76 PDOP:0.92 | NAV-ATT Roll:+0.00° Pitch:-0.25° Hdg:+115.79° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:09.360000] Initializing Fix:3D | Accel(m/s²) X:-0.6968 Y:-0.7220 Z:+10.0059  Gyro(°/s) X:+0.2443 Y:-0.2303 Z:-24.9605 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.860m/s VN:-1.419 VE:+1.203 VD:+0.012 | Lat:43.514354 Lon:-79.683367 | hAcc:0.15m vAcc:0.239m | HDOP:0.51 VDOP:0.74 PDOP:0.9 | NAV-ATT Roll:+0.00° Pitch:-0.38° Hdg:+139.71° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:10.350000] Initializing Fix:3D | Accel(m/s²) X:-0.7571 Y:-0.8496 Z:+9.9075  Gyro(°/s) X:+1.1197 Y:+0.3316 Z:-22.1745 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.917m/s VN:-1.859 VE:+0.470 VD:+0.044 | Lat:43.514338 Lon:-79.683356 | hAcc:0.149m vAcc:0.238m | HDOP:0.52 VDOP:0.76 PDOP:0.92 | NAV-ATT Roll:+0.00° Pitch:-1.33° Hdg:+165.82° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:11.400000] Initializing Fix:3D | Accel(m/s²) X:-0.6865 Y:-0.8925 Z:+9.8900  Gyro(°/s) X:+0.2340 Y:+0.2060 Z:-16.6582 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.909m/s VN:-1.909 VE:-0.025 VD:+0.031 | Lat:43.514322 Lon:-79.683353 | hAcc:0.148m vAcc:0.237m | HDOP:0.5 VDOP:0.72 PDOP:0.88 | NAV-ATT Roll:+0.00° Pitch:-0.94° Hdg:+180.76° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:12.390000] Initializing Fix:3D | Accel(m/s²) X:-0.4865 Y:-0.6950 Z:+9.9976  Gyro(°/s) X:+0.5926 Y:+0.0302 Z:-16.5997 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.819m/s VN:-1.737 VE:-0.539 VD:+0.011 | Lat:43.514305 Lon:-79.683357 | hAcc:0.146m vAcc:0.235m | HDOP:0.5 VDOP:0.72 PDOP:0.88 | NAV-ATT Roll:+0.00° Pitch:-0.35° Hdg:+197.23° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:13.380000] Initializing Fix:3D | Accel(m/s²) X:-0.5375 Y:-0.5142 Z:+9.8808  Gyro(°/s) X:+0.9508 Y:+0.3568 Z:-15.9891 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.781m/s VN:-1.513 VE:-0.939 VD:-0.006 | Lat:43.514290 Lon:-79.683368 | hAcc:0.146m vAcc:0.234m | HDOP:0.54 VDOP:0.74 PDOP:0.92 | NAV-ATT Roll:+0.00° Pitch:+0.18° Hdg:+211.83° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:14.370000] Initializing Fix:3D | Accel(m/s²) X:-0.5884 Y:-0.4099 Z:+9.9185  Gyro(°/s) X:+0.5745 Y:+0.7118 Z:-15.0262 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.703m/s VN:-1.129 VE:-1.275 VD:-0.011 | Lat:43.514279 Lon:-79.683382 | hAcc:0.146m vAcc:0.232m | HDOP:0.52 VDOP:0.74 PDOP:0.9 | NAV-ATT Roll:+0.00° Pitch:+0.37° Hdg:+228.47° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:15.360000] Initializing Fix:3D | Accel(m/s²) X:-0.6579 Y:-0.3761 Z:+9.7811  Gyro(°/s) X:+1.0207 Y:+0.4211 Z:-14.4813 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.645m/s VN:-0.651 VE:-1.510 VD:-0.031 | Lat:43.514270 Lon:-79.683400 | hAcc:0.148m vAcc:0.236m | HDOP:0.54 VDOP:0.77 PDOP:0.94 | NAV-ATT Roll:+0.00° Pitch:+1.05° Hdg:+242.28° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:16.420000] Initializing Fix:3D | Accel(m/s²) X:-0.5688 Y:-0.3790 Z:+9.9095  Gyro(°/s) X:+0.8917 Y:+0.4161 Z:-15.0390 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.703m/s VN:-0.346 VE:-1.667 VD:-0.015 | Lat:43.514265 Lon:-79.683420 | hAcc:0.153m vAcc:0.245m | HDOP:0.55 VDOP:0.78 PDOP:0.95 | NAV-ATT Roll:+0.00° Pitch:+0.52° Hdg:+258.28° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:17.410000] Initializing Fix:3D | Accel(m/s²) X:-0.5217 Y:-0.3423 Z:+9.8627  Gyro(°/s) X:+0.4855 Y:+1.0863 Z:-11.6900 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.857m/s VN:-0.004 VE:-1.857 VD:-0.017 | Lat:43.514264 Lon:-79.683442 | hAcc:0.153m vAcc:0.247m | HDOP:0.5 VDOP:0.72 PDOP:0.88 | NAV-ATT Roll:+0.00° Pitch:+0.53° Hdg:+269.86° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:18.400000] Initializing Fix:3D | Accel(m/s²) X:-0.5320 Y:-0.0023 Z:+9.9209  Gyro(°/s) X:+0.3492 Y:-0.8499 Z:-1.2925 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.002m/s VN:+0.162 VE:-1.995 VD:-0.008 | Lat:43.514265 Lon:-79.683466 | hAcc:0.151m vAcc:0.246m | HDOP:0.56 VDOP:0.82 PDOP:0.99 | NAV-ATT Roll:+0.00° Pitch:+0.23° Hdg:+274.65° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:19.390000] Initializing Fix:3D | Accel(m/s²) X:-0.7153 Y:+0.6264 Z:+9.8857  Gyro(°/s) X:-2.3107 Y:-0.7026 Z:+11.6190 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.103m/s VN:-0.219 VE:-2.092 VD:+0.001 | Lat:43.514266 Lon:-79.683491 | hAcc:0.149m vAcc:0.247m | HDOP:0.58 VDOP:0.82 PDOP:1.0 | NAV-ATT Roll:+0.00° Pitch:-0.02° Hdg:+264.02° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:20.440000] Initializing Fix:3D | Accel(m/s²) X:-0.7519 Y:+0.5673 Z:+9.9391  Gyro(°/s) X:-1.7794 Y:-0.2979 Z:+21.2114 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.989m/s VN:-0.877 VE:-1.785 VD:-0.009 | Lat:43.514261 Lon:-79.683517 | hAcc:0.148m vAcc:0.247m | HDOP:0.52 VDOP:0.78 PDOP:0.94 | NAV-ATT Roll:+0.00° Pitch:+0.26° Hdg:+243.83° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:21.430000] Initializing Fix:3D | Accel(m/s²) X:-0.6474 Y:+0.3966 Z:+9.9228  Gyro(°/s) X:-3.1778 Y:+0.5044 Z:+24.8142 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+1.975m/s VN:-1.575 VE:-1.191 VD:-0.011 | Lat:43.514250 Lon:-79.683536 | hAcc:0.147m vAcc:0.248m | HDOP:0.52 VDOP:0.78 PDOP:0.94 | NAV-ATT Roll:+0.00° Pitch:+0.31° Hdg:+217.10° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:22.420000] Initializing Fix:3D | Accel(m/s²) X:-0.2630 Y:+0.4597 Z:+9.9965  Gyro(°/s) X:+0.9294 Y:+0.0181 Z:+29.6191 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.318m/s VN:-2.247 VE:-0.570 VD:-0.001 | Lat:43.514234 Lon:-79.683548 | hAcc:0.146m vAcc:0.245m | HDOP:0.52 VDOP:0.78 PDOP:0.94 | NAV-ATT Roll:+0.00° Pitch:+0.03° Hdg:+194.23° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:23.410000] Initializing Fix:3D | Accel(m/s²) X:-0.9329 Y:+0.9952 Z:+9.8290  Gyro(°/s) X:-1.0365 Y:-3.3474 Z:+30.3052 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.293m/s VN:-2.188 VE:+0.687 VD:+0.041 | Lat:43.514212 Lon:-79.683547 | hAcc:0.145m vAcc:0.241m | HDOP:0.57 VDOP:0.83 PDOP:1.01 | NAV-ATT Roll:+0.00° Pitch:-1.02° Hdg:+162.56° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:24.400000] Initializing Fix:3D | Accel(m/s²) X:-0.7138 Y:+0.6156 Z:+10.0602  Gyro(°/s) X:-1.9005 Y:-0.1138 Z:+26.7188 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.099m/s VN:-1.363 VE:+1.596 VD:+0.010 | Lat:43.514195 Lon:-79.683532 | hAcc:0.143m vAcc:0.239m | HDOP:0.54 VDOP:0.81 PDOP:0.98 | NAV-ATT Roll:+0.00° Pitch:-0.28° Hdg:+130.49° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:25.460000] Initializing Fix:3D | Accel(m/s²) X:-0.3242 Y:+0.7456 Z:+9.9158  Gyro(°/s) X:-0.5833 Y:-0.4243 Z:+27.2830 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.124m/s VN:-0.581 VE:+2.043 VD:-0.018 | Lat:43.514186 Lon:-79.683510 | hAcc:0.144m vAcc:0.241m | HDOP:0.59 VDOP:0.86 PDOP:1.05 | NAV-ATT Roll:+0.00° Pitch:+0.49° Hdg:+105.88° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:26.450000] Initializing Fix:3D | Accel(m/s²) X:-0.2845 Y:+0.8619 Z:+9.8601  Gyro(°/s) X:-1.8292 Y:+0.0747 Z:+29.7295 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.373m/s VN:+0.547 VE:+2.309 VD:-0.033 | Lat:43.514186 Lon:-79.683482 | hAcc:0.148m vAcc:0.25m | HDOP:0.53 VDOP:0.79 PDOP:0.95 | NAV-ATT Roll:+0.00° Pitch:+0.80° Hdg:+76.68° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:27.440000] Initializing Fix:3D | Accel(m/s²) X:-0.5052 Y:+0.6531 Z:+9.8073  Gyro(°/s) X:-0.7274 Y:+0.9591 Z:+29.7049 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.352m/s VN:+1.514 VE:+1.799 VD:-0.046 | Lat:43.514195 Lon:-79.683458 | hAcc:0.156m vAcc:0.259m | HDOP:0.52 VDOP:0.78 PDOP:0.94 | NAV-ATT Roll:+0.00° Pitch:+1.13° Hdg:+49.91° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:28.430000] Initializing Fix:3D | Accel(m/s²) X:-0.6633 Y:+1.2973 Z:+9.8911  Gyro(°/s) X:-0.8434 Y:-0.3956 Z:+32.9986 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.482m/s VN:+2.298 VE:+0.938 VD:+0.047 | Lat:43.514212 Lon:-79.683440 | hAcc:0.163m vAcc:0.262m | HDOP:0.62 VDOP:0.88 PDOP:1.07 | NAV-ATT Roll:+0.00° Pitch:-1.09° Hdg:+22.19° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:29.420000] Initializing Fix:3D | Accel(m/s²) X:-0.4630 Y:+0.2578 Z:+9.9569  Gyro(°/s) X:-2.5796 Y:-0.0850 Z:+24.1304 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.938m/s VN:+2.857 VE:-0.686 VD:+0.067 | Lat:43.514237 Lon:-79.683437 | hAcc:0.171m vAcc:0.258m | HDOP:0.63 VDOP:0.83 PDOP:1.05 | NAV-ATT Roll:+0.00° Pitch:-1.31° Hdg:+346.51° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:30.480000] Initializing Fix:3D | Accel(m/s²) X:-0.7144 Y:-0.4896 Z:+9.8953  Gyro(°/s) X:-0.2697 Y:+0.0507 Z:+4.4848 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.790m/s VN:+2.609 VE:-0.989 VD:+0.039 | Lat:43.514261 Lon:-79.683448 | hAcc:0.178m vAcc:0.257m | HDOP:0.55 VDOP:0.78 PDOP:0.96 | NAV-ATT Roll:+0.00° Pitch:-0.79° Hdg:+339.23° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:31.470000] Initializing Fix:3D | Accel(m/s²) X:-0.8322 Y:-0.7062 Z:+9.8186  Gyro(°/s) X:+0.9240 Y:+0.0356 Z:-10.1675 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.558m/s VN:+2.489 VE:-0.590 VD:+0.027 | Lat:43.514283 Lon:-79.683458 | hAcc:0.177m vAcc:0.255m | HDOP:0.55 VDOP:0.77 PDOP:0.94 | NAV-ATT Roll:+0.00° Pitch:-0.60° Hdg:+346.67° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:32.460000] Initializing Fix:3D | Accel(m/s²) X:-0.7717 Y:-0.3035 Z:+9.7998  Gyro(°/s) X:+0.8573 Y:-0.0144 Z:-12.5552 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.428m/s VN:+2.428 VE:-0.047 VD:+0.012 | Lat:43.514305 Lon:-79.683461 | hAcc:0.172m vAcc:0.249m | HDOP:0.53 VDOP:0.77 PDOP:0.93 | NAV-ATT Roll:+0.00° Pitch:-0.29° Hdg:+358.89° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:33.450000] Initializing Fix:3D | Accel(m/s²) X:-0.7289 Y:-0.6345 Z:+10.0248  Gyro(°/s) X:+1.4799 Y:+0.4584 Z:-14.2006 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.215m/s VN:+2.138 VE:+0.579 VD:+0.007 | Lat:43.514327 Lon:-79.683458 | hAcc:0.167m vAcc:0.241m | HDOP:0.53 VDOP:0.74 PDOP:0.91 | NAV-ATT Roll:+0.00° Pitch:-0.17° Hdg:+15.16° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
[19:47:34.500000] Initializing Fix:3D | Accel(m/s²) X:-0.8580 Y:-0.4508 Z:+9.9330  Gyro(°/s) X:+1.3938 Y:-0.1586 Z:-19.4502 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000  THS Hdg:+0.00° | Spd:+2.046m/s VN:+1.721 VE:+1.106 VD:+0.011 | Lat:43.514344 Lon:-79.683448 | hAcc:0.163m vAcc:0.234m | HDOP:0.51 VDOP:0.71 PDOP:0.87 | NAV-ATT Roll:+0.00° Pitch:-0.30° Hdg:+32.73° | ESF-ALG Roll:+0.00° Pitch:+0.00° Yaw:+0.00° | THS Hdg:+0.00° MI:—
